Brand,Rating,Processor,Display,OS,RAMSize,RAMType,Storage_HDD,Storage_SSD,MRP
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,196990.0
ASUS,4.6,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,85990.0
MSI,4.6,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,109990.0
Infinix,4.1,Intel Core i5 Processor,35.56,Windows,16,LPDDR4X ,0,512,37990.0
APPLE,5.0,Apple M2 Processor,34.54,Mac,8,Unified Memory ,0,512,139990.0
Lenovo,4.2,AMD Ryzen 3 Dual Core Processor,39.62,Windows,8,DDR4 ,0,512,35590.0
ASUS,4.9,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,150990.0
Lenovo,4.4,Intel Core i3 Processor,39.62,Windows,4,DDR4 ,0,256,29990.0
Lenovo,4.2,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,36990.0
Lenovo,4.5,AMD Ryzen 7 Octa Core Processor,39.62,Windows,8,DDR4 ,0,512,73490.0
ASUS,4.4,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,8,DDR4 ,1000,256,52990.0
HP,4.2,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,41890.0
DELL,4.2,Intel Pentium Silver Processor,39.62,Windows,8,DDR4 ,0,256,30428.0
acer,4.1,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,34990.0
Lenovo,4.4,Intel Core i3 Processor,39.62,Windows,4,DDR4 ,0,256,29990.0
APPLE,4.7,Apple M1 Processor,33.78,Mac,8,DDR4 ,0,256,88990.0
Lenovo,4.2,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,36990.0
MSI,4.4,Intel Core i7 Processor,39.62,Windows,8,DDR4 ,0,512,65990.0
ASUS,4.1,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,33490.0
HP,4.1,Intel Core i5 Processor,35.56,Windows,16,DDR4 ,0,512,60990.0
Lenovo,4.2,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
HP,4.3,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,8,DDR4 ,0,512,46990.0
ASUS,4.3,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,512,59990.0
MSI,4.2,Intel Core i7 Processor,39.62,Windows,16,DDR4 ,0,1000,114990.0
RedmiBook,4.1,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
ASUS,4.3,Intel Core i7 Processor,40.64,Windows,16,DDR4 ,0,1000,119990.0
Infinix,4.3,Intel Core i5 Processor,39.62,Windows,8,LPDDR4X ,0,512,42990.0
ASUS,4.6,Intel Core i5 Processor,39.62,Windows,16,LPDDR5 ,0,512,89990.0
Lenovo,4.2,AMD Ryzen 5 Quad Core Processor,39.62,Windows,8,DDR4 ,0,512,38705.0
MSI,4.5,AMD Ryzen 7 Octa Core Processor,39.62,Windows,8,DDR4 ,0,512,79990.0
ASUS,4.8,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,1000,70990.0
Lenovo,4.3,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,256,33900.0
